Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,1061.195923,1066.063843,1046.592285,1046.592285,819.232361,4574
2000-07-31,1046.592285,1056.328003,1046.592285,1046.592285,819.232361,12325
2000-08-01,1070.931641,1070.931641,1046.592285,1046.592285,819.232361,29786
2000-08-02,1046.592285,1051.460205,1046.592285,1046.592285,819.232361,31080
2000-08-03,1051.460205,1051.460205,1041.724365,1041.724365,815.421997,156536
2000-08-04,1041.724365,1046.592285,1031.988647,1031.988647,807.801208,263945
2000-08-07,1036.856567,1036.856567,1031.988647,1031.988647,807.801208,127954
2000-08-08,1031.988647,1041.724365,1031.988647,1031.988647,807.801208,237519
2000-08-09,1031.988647,1031.988647,1031.988647,1031.988647,807.801208,0
2000-08-10,1036.856567,1041.724365,1036.856567,1036.856567,811.611450,6984
2000-08-11,1041.724365,1046.592285,1041.724365,1041.724365,815.421997,12273
2000-08-14,1070.931641,1070.931641,1051.460205,1051.460205,823.042908,2177
2000-08-15,1051.460205,1070.931641,1051.460205,1051.460205,823.042908,419289
2000-08-16,1056.328003,1056.328003,1051.460205,1051.460205,823.042908,12531
2000-08-17,1051.460205,1056.328003,1051.460205,1051.460205,823.042908,5738
2000-08-18,1051.460205,1051.460205,1046.592285,1046.592285,819.232361,47094
2000-08-21,1056.328003,1056.328003,1046.592285,1046.592285,819.232361,76830
2000-08-22,1046.592285,1070.931641,1046.592285,1046.592285,819.232361,212413
2000-08-23,1070.931641,1070.931641,1056.328003,1056.328003,826.853271,20105
2000-08-24,1070.931641,1070.931641,1070.931641,1070.931641,838.284302,11504
2000-08-25,1070.931641,1075.799561,1070.931641,1070.931641,838.284302,43330
2000-08-28,1080.667358,1129.346069,1080.667358,1080.667358,845.905090,552002
2000-08-29,1129.346069,1158.553345,1119.610352,1119.610352,876.388123,5455
2000-08-30,1158.553345,1168.289063,1148.817627,1148.817627,899.250549,8241
2000-08-31,1168.289063,1187.760620,1148.817627,1148.817627,899.250549,218345
2000-09-01,1216.967773,1216.967773,1187.760620,1187.760620,929.733887,99161
2000-09-04,1187.760620,1216.967773,1187.760620,1187.760620,929.733887,1767087
2000-09-05,1207.232056,1265.646484,1202.364258,1202.364258,941.164734,160791
2000-09-06,1207.232056,1216.967773,1207.232056,1207.232056,944.975464,139346
2000-09-07,1216.967773,1236.439331,1207.232056,1207.232056,944.975464,37235
2000-09-08,1216.967773,1216.967773,1207.232056,1207.232056,944.975464,6314
2000-09-11,1216.967773,1236.439331,1207.232056,1207.232056,944.975464,92252
2000-09-12,1207.232056,1207.232056,1178.024780,1178.024780,922.112732,73711
2000-09-13,1197.496338,1197.496338,1158.553345,1173.156860,918.302551,191664
2000-09-14,1207.232056,1207.232056,1173.156860,1173.156860,918.302551,19442
2000-09-15,1192.628418,1246.175049,1192.628418,1192.628418,933.544128,48486
2000-09-18,1192.628418,1265.646484,1178.024780,1178.024780,922.112732,231391
2000-09-19,1178.024780,1197.496338,1178.024780,1178.024780,922.112732,215545
2000-09-20,1207.232056,1207.232056,1197.496338,1197.496338,937.354370,10149
2000-09-21,1197.496338,1202.364258,1187.760620,1187.760620,929.733887,219971
2000-09-22,1187.760620,1187.760620,1173.156860,1173.156860,918.302551,24651
2000-09-25,1173.156860,1173.156860,1173.156860,1173.156860,918.302551,0
2000-09-26,1168.289063,1187.760620,1168.289063,1168.289063,914.492004,48163
2000-09-27,1187.760620,1187.760620,1168.289063,1168.289063,914.492004,85373
2000-09-28,1168.289063,1168.289063,1168.289063,1168.289063,914.492004,2012
2000-09-29,1168.289063,1187.760620,1168.289063,1168.289063,914.492004,149521
2000-10-02,1187.760620,1187.760620,1187.760620,1187.760620,929.733887,31768
2000-10-03,1182.892700,1182.892700,1168.289063,1168.289063,914.492004,72350
2000-10-04,1168.289063,1173.156860,1168.289063,1168.289063,914.492004,70274
2000-10-05,1168.289063,1173.156860,1168.289063,1168.289063,914.492004,47405
2000-10-06,1173.156860,1187.760620,1168.289063,1168.289063,914.492004,132786
2000-10-09,1158.553345,1158.553345,1119.610352,1119.610352,876.388123,8186
2000-10-10,1119.610352,1119.610352,1119.610352,1119.610352,876.388123,3031
2000-10-11,1119.610352,1119.610352,1114.742554,1114.742554,872.577820,4519
2000-10-12,1105.006836,1119.610352,1070.931641,1070.931641,838.284302,364601
2000-10-13,1119.610352,1119.610352,1070.931641,1070.931641,838.284302,23829
2000-10-16,1119.610352,1158.553345,1119.610352,1119.610352,876.388123,20563
2000-10-17,1139.081787,1139.081787,1139.081787,1139.081787,891.629395,205
2000-10-18,1129.346069,1129.346069,1070.931641,1070.931641,838.284302,34140
2000-10-19,1070.931641,1080.667358,1061.195923,1061.195923,830.663513,61445
2000-10-20,1090.403076,1090.403076,1070.931641,1070.931641,838.284302,27926
2000-10-23,1100.138916,1100.138916,1090.403076,1090.403076,853.525818,2999
2000-10-24,1070.931641,1080.667358,1070.931641,1070.931641,838.284302,36720
2000-10-25,1070.931641,1070.931641,973.574219,973.574219,762.076782,133954
2000-10-26,1022.252930,1022.252930,997.913574,997.913574,781.128662,271055
2000-10-27,1012.517212,1012.517212,993.045715,993.045715,777.318176,217959
2000-10-30,997.913574,1002.781494,993.045715,1002.781494,784.939087,291708
2000-10-31,1002.781494,1002.781494,1002.781494,1002.781494,784.939087,0
2000-11-01,1012.517212,1022.252930,1012.517212,1012.517212,792.559753,180273
2000-11-02,1007.649292,1007.649292,1002.781494,1002.781494,784.939087,179904
2000-11-03,1002.781494,1012.517212,1002.781494,1007.649292,788.749390,242351
2000-11-06,1002.781494,1022.252930,1002.781494,1031.988647,807.801208,910
2000-11-07,1027.120850,1027.120850,1012.517212,1012.517212,792.559753,11287
2000-11-08,1002.781494,1066.063843,1002.781494,1056.328003,826.853271,162288
2000-11-09,1007.649292,1007.649292,1007.649292,1007.649292,788.749390,38074
2000-11-10,1007.649292,1012.517212,1007.649292,1012.517212,792.559753,7344
2000-11-13,1012.517212,1012.517212,1012.517212,1012.517212,792.559753,3095
2000-11-14,1022.252930,1041.724365,1022.252930,1031.988647,807.801208,12504
2000-11-15,1031.988647,1041.724365,1031.988647,1031.988647,807.801208,38837
2000-11-16,1031.988647,1041.724365,1031.988647,1036.856567,811.611450,32868
2000-11-17,1036.856567,1046.592285,1036.856567,1036.856567,811.611450,23235
2000-11-20,1041.724365,1070.931641,1041.724365,1070.931641,838.284302,48655
2000-11-21,1061.195923,1100.138916,1061.195923,1061.195923,830.663513,7718
2000-11-22,1100.138916,1100.138916,1100.138916,1100.138916,861.146667,10785
